Name,Query,Answer1,Answer2,Type1,Type2,TypePair,Cosine_similarity,Answer1_sentiment,Answer2_sentiment,Rouge1,Rouge2,RougeL,MissingInfoRatio,Answer1_Length,Answer2_Length
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?",The series number is 123.,"The series number on September 21, 2002, is 123",html,hard-coded,hard-coded + html,0.7557910680770874,positive,positive,0.7142857142857143,0.5,0.7142857142857143,0.5555555549382716,5,9
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?",The series number is 123.,"The series number on airdate September 21, 2002, is 123.",html,md,html + md,0.6744807958602905,positive,negative,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.49999999949999996,5,10
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?","The series number on September 21, 2002, is 123","The series number on airdate September 21, 2002, is 123.",hard-coded,md,hard-coded + md,0.8999839425086975,positive,negative,0.9473684210526316,0.823529411764706,0.9473684210526316,0.1999999998,9,10
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?",The series number is 131.,"The series number of the ""Harry Bladder Special"" is 131",html,hard-coded,hard-coded + html,0.4900859594345093,positive,negative,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.5555555549382716,5,10
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?",The series number is 131.,"The series number of ""Harry Bladder Special"" is 131.",html,md,html + md,0.5549147725105286,positive,negative,0.7142857142857143,0.5,0.7142857142857143,0.4444444439506172,5,9
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?","The series number of the ""Harry Bladder Special"" is 131","The series number of ""Harry Bladder Special"" is 131.",hard-coded,md,hard-coded + md,0.9823865294456482,negative,negative,0.9473684210526316,0.823529411764706,0.9473684210526316,0.1111111109876543,10,9
test_chunk_10__1-26565917-2,what was the name of episode 5?,"Episode 5 was titled ""Seven Seconds"".","Based on the data, episode 5 is titled ""Seven Seconds."" It was directed by John Gallagher and written by Andi Bushell, and it originally aired on October 24, 2007.",html,hard-coded,hard-coded + html,0.8723178505897522,negative,negative,0.34285714285714286,0.18181818181818182,0.28571428571428575,0.79999999968,6,29
test_chunk_10__1-26565917-2,what was the name of episode 5?,"Episode 5 was titled ""Seven Seconds"".","Episode 5 was titled ""Seven Seconds.""",html,md,html + md,0.9978529214859009,negative,negative,1.0,1.0,1.0,0.16666666638888888,6,6
test_chunk_10__1-26565917-2,what was the name of episode 5?,"Based on the data, episode 5 is titled ""Seven Seconds."" It was directed by John Gallagher and written by Andi Bushell, and it originally aired on October 24, 2007.","Episode 5 was titled ""Seven Seconds.""",hard-coded,md,hard-coded + md,0.8713122606277466,negative,negative,0.34285714285714286,0.18181818181818182,0.28571428571428575,0.0,29,6
test_chunk_10__1-26565917-2,when did 14.55 people watch?,"14.55 million viewers watched on October 10, 2007, which was episode 3, ""Scared to Death.""","14.55 million viewers watched during episode 48, titled ""Scared to Death."" This episode aired on October 10, 2007.",html,hard-coded,hard-coded + html,0.903407871723175,negative,negative,0.742857142857143,0.5454545454545454,0.5142857142857142,0.3529411762629758,15,18
